"(*sync.Pool).Get" "internal/race.Disable"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"crypto/md5.blockGeneric" "math/bits.RotateLeft32"
"(*crypto/md5.digest).Write" "crypto/md5.blockGeneric"
"(*crypto/md5.digest).Write" "crypto/md5.block"
"(*crypto/md5.digest).Write" "crypto/md5.blockGeneric"
"fmt.Fprint" "(*crypto/md5.digest).Write"
"fmt.Fprint" "(*fmt.pp).free"
"(*bytes.Buffer).Write" "(*bytes.Buffer).tryGrowByReslice"
"(*bytes.Buffer).grow" "(*bytes.Buffer).Len"
"(*bytes.Buffer).grow" "(*bytes.Buffer).Reset"
"(*bytes.Buffer).grow" "(*bytes.Buffer).tryGrowByReslice"
"bytes.growSlice" "bytes.growSlice$1"
"(*bytes.Buffer).grow" "bytes.growSlice"
"(*bytes.Buffer).Write" "(*bytes.Buffer).grow"
"fmt.Fprint" "(*bytes.Buffer).Write"
"(*strings.Builder).Write" "(*strings.Builder).copyCheck"
"fmt.Fprint" "(*strings.Builder).Write"
"(*go/ast.printer).Write" "(*internal/poll.FD).Write"
"(*go/ast.printer).Write" "(io.discard).Write"
"(*go/ast.printer).Write" "(*os/exec.prefixSuffixSaver).Write"
"(*go/ast.printer).Write" "(*fmt.pp).Write"
"(*go/ast.printer).Write" "(*os.File).Write"
"(*go/ast.printer).Write" "(*strings.Builder).Write"
"(*go/ast.printer).Write" "(*crypto/md5.digest).Write"
"(*go/ast.printer).Write" "(*internal/poll.FD).Write"
"(*go/ast.printer).Write" "(*crypto/md5.digest).Write"
"(*go/ast.printer).Write" "(*go/ast.printer).Write"
"(*go/ast.printer).Write" "(*fmt.pp).Write"
"(*go/ast.printer).Write" "(*log/slog/internal/buffer.Buffer).Write"
"(*go/ast.printer).Write" "(*strings.Builder).Write"
"(*go/ast.printer).Write" "(*bytes.Buffer).Write"
"(*internal/godebug.runtimeStderr).Write" "internal/godebug.write"
"(*go/ast.printer).Write" "(*internal/godebug.runtimeStderr).Write"
"(*go/ast.printer).Write" "(*bytes.Buffer).Write"
"(*go/ast.printer).Write" "(*crypto/md5.digest).Write"
"(*go/ast.printer).Write" "(*os/exec.prefixSuffixSaver).Write"
"(*go/ast.printer).Write" "(*go/ast.printer).Write"
"(*go/ast.printer).Write" "fmt.Fprintf"
"(*go/ast.printer).Write" "(*internal/poll.FD).Write"
"(*go/ast.printer).Write" "(io.discard).Write"
"(*go/ast.printer).Write" "(io.discard).Write"
"(*go/ast.printer).Write" "(*fmt.pp).Write"
"(*go/ast.printer).Write" "(*os.File).Write"
"(*go/ast.printer).Write" "(*log/slog/internal/buffer.Buffer).Write"
"(*go/ast.printer).Write" "(*internal/godebug.runtimeStderr).Write"
"(*go/ast.printer).Write" "(*go/ast.printer).Write"
"(*go/ast.printer).Write" "(*internal/godebug.runtimeStderr).Write"
"(*go/ast.printer).Write" "(*os/exec.prefixSuffixSaver).Write"
"(*go/ast.printer).Write" "(*os.File).Write"
"(*go/ast.printer).Write" "(*log/slog/internal/buffer.Buffer).Write"
"(*go/ast.printer).Write" "(*strings.Builder).Write"
"(*go/ast.printer).Write" "(*bytes.Buffer).Write"
"fmt.Fprint" "(*go/ast.printer).Write"
"fmt.Fprint" "(*internal/godebug.runtimeStderr).Write"
"fmt.Fprint" "(*log/slog/internal/buffer.Buffer).Write"
"(*flag.FlagSet).PrintDefaults$1" "fmt.Fprint"
"(*flag.FlagSet).PrintDefaults$1" "fmt.Fprintf"
"(*flag.FlagSet).PrintDefaults$1" "fmt.Fprintf"
"(*flag.FlagSet).VisitAll" "(*flag.FlagSet).PrintDefaults$1"
"(*flag.FlagSet).PrintDefaults" "(*flag.FlagSet).VisitAll"
"(*flag.FlagSet).PrintDefaults" "(*flag.FlagSet).Output"
"fmt.Fprintln" "fmt.newPrinter"
"(*fmt.pp).doPrintln" "(*fmt.buffer).writeByte"
"(*fmt.pp).doPrintln" "(*fmt.buffer).writeByte"
"(*fmt.pp).doPrintln" "(*fmt.pp).printArg"
"fmt.Fprintln" "(*fmt.pp).doPrintln"
"fmt.Fprintln" "(*internal/poll.FD).Write"
"fmt.Fprintln" "(io.discard).Write"
"fmt.Fprintln" "(*internal/godebug.runtimeStderr).Write"
"fmt.Fprintln" "(*fmt.pp).Write"
"fmt.Fprintln" "(*os.File).Write"
"fmt.Fprintln" "(*crypto/md5.digest).Write"
"fmt.Fprintln" "(*os/exec.prefixSuffixSaver).Write"
"fmt.Fprintln" "(*fmt.pp).free"
"fmt.Fprintln" "(*strings.Builder).Write"
"fmt.Fprintln" "(*go/ast.printer).Write"
"fmt.Fprintln" "(*bytes.Buffer).Write"
"fmt.Fprintln" "(*log/slog/internal/buffer.Buffer).Write"
"(*flag.FlagSet).PrintDefaults" "fmt.Fprintln"
"(*flag.FlagSet).PrintDefaults" "(*flag.FlagSet).Output"
"(*flag.FlagSet).PrintDefaults" "fmt.Fprintln"
"(*flag.FlagSet).defaultUsage" "(*flag.FlagSet).PrintDefaults"
"(*flag.FlagSet).defaultUsage" "(*flag.FlagSet).Output"
"(*flag.FlagSet).defaultUsage" "fmt.Fprintf"
"(*sync.Once).doSlow" "(*flag.FlagSet).defaultUsage"
"(*sync.Once).doSlow" "syscall.libc_shutdown_trampoline"
"(*sync.Once).doSlow" "syscall.libc_munmap_trampoline"
"(*sync.Once).doSlow" "syscall.libc_fchdir_trampoline"
"runtime.addfinalizer" "runtime.lock"
"(*runtime.fixalloc).alloc" "runtime.throw"
"(*runtime.fixalloc).alloc" "runtime.memclrNoHeapPointers"
"(*runtime.fixalloc).alloc" "runtime.persistentalloc"
"runtime.addfinalizer" "(*runtime.fixalloc).alloc"
"runtime.addfinalizer" "runtime.unlock"
"runtime.addspecial" "runtime.spanOfHeap"
"runtime.addspecial" "runtime.throw"
"runtime.addspecial" "runtime.acquirem"
"(*runtime.mspan).ensureSwept" "runtime.getg"
"(*runtime.mspan).ensureSwept" "runtime.throw"
"(*runtime.activeSweep).begin" "(*runtime/internal/atomic.Uint32).Load"
"(*runtime.activeSweep).begin" "(*runtime/internal/atomic.Uint32).CompareAndSwap"
"(*runtime.mspan).ensureSwept" "(*runtime.activeSweep).begin"
"(*runtime.sweepLocker).tryAcquire" "runtime.throw"
"(*runtime.sweepLocker).tryAcquire" "runtime/internal/atomic.Load"
"(*runtime.sweepLocker).tryAcquire" "runtime/internal/atomic.Cas"
"(*runtime.mspan).ensureSwept" "(*runtime.sweepLocker).tryAcquire"
"(*runtime.sweepLocked).sweep" "runtime.getg"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "(*runtime.mSpanStateBox).get"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.traceAcquire"
"(*runtime.sweepLocked).sweep" "(runtime.traceLocker).ok"
"(runtime.traceLocker).GCSweepSpan" "(runtime.puintptr).ptr"
"(runtime.traceLocker).eventWriter" "(runtime.traceLocker).writer"
"(runtime.traceLocker).eventWriter" "(runtime.puintptr).ptr"
"(runtime.traceWriter).writeProcStatus" "runtime.throw"
"(runtime.traceWriter).ensure" "(*runtime.traceBuf).available"
"(runtime.traceWriter).refill" "runtime.systemstack"
"runtime.traceClockNow" "runtime.cputicks"
"runtime.traceClockNow" "runtime.nanotime"
"(runtime.traceWriter).refill" "runtime.traceClockNow"
"(runtime.traceWriter).refill" "(*runtime.traceBuf).byte"
"(runtime.traceWriter).refill" "(*runtime.traceBuf).varint"
"(runtime.traceWriter).refill" "(*runtime.traceBuf).varint"
"(runtime.traceWriter).refill" "(*runtime.traceBuf).varint"
"(runtime.traceWriter).refill" "(*runtime.traceBuf).varintReserve"
"(runtime.traceWriter).ensure" "(runtime.traceWriter).refill"
"(runtime.traceWriter).event" "(runtime.traceWriter).ensure"
"(runtime.traceWriter).event" "runtime.traceClockNow"
"(runtime.traceWriter).event" "(*runtime.traceBuf).byte"
"(runtime.traceWriter).event" "(*runtime.traceBuf).varint"
"(runtime.traceWriter).event" "(*runtime.traceBuf).varint"
"(runtime.traceWriter).writeProcStatus" "(runtime.traceWriter).event"
"(runtime.traceWriter).writeProcStatus" "(runtime.traceWriter).event"
"(runtime.traceLocker).eventWriter" "(runtime.traceWriter).writeProcStatus"
"(*runtime.traceSchedResourceState).acquireStatus" "(*runtime/internal/atomic.Uint32).CompareAndSwap"
"(*runtime.traceSchedResourceState).readyNextGen" "runtime.traceNextGen"
"(*runtime/internal/atomic.Uint32).Store" "runtime/internal/atomic.Store"
"(*runtime.traceSchedResourceState).readyNextGen" "(*runtime/internal/atomic.Uint32).Store"
"(*runtime.traceSchedResourceState).acquireStatus" "(*runtime.traceSchedResourceState).readyNextGen"
"(runtime.traceLocker).eventWriter" "(*runtime.traceSchedResourceState).acquireStatus"
"(*runtime.traceSchedResourceState).statusWasTraced" "(*runtime/internal/atomic.Uint32).Load"
"(runtime.traceLocker).eventWriter" "(*runtime.traceSchedResourceState).statusWasTraced"
"(runtime.traceWriter).writeGoStatus" "runtime.throw"
"(runtime.traceWriter).writeGoStatus" "(runtime.traceWriter).event"
"(runtime.traceWriter).writeGoStatus" "(runtime.traceWriter).event"
"(runtime.traceLocker).eventWriter" "(runtime.traceWriter).writeGoStatus"
"(runtime.traceLocker).eventWriter" "(*runtime.traceSchedResourceState).acquireStatus"
"(runtime.traceLocker).eventWriter" "(*runtime.traceSchedResourceState).statusWasTraced"
"(runtime.traceLocker).GCSweepSpan" "(runtime.traceLocker).eventWriter"
"runtime.traceStack" "runtime.getg"
"runtime.traceStack" "runtime.tracefpunwindoff"
"runtime.traceStack" "(*runtime.m).hasCgoOnStack"
"runtime.traceStack" "runtime.callers"
"runtime.traceStack" "runtime.gcallers"
"runtime.traceStack" "runtime.getfp"
"runtime.traceStack" "runtime.fpTracebackPCs"
"runtime.traceStack" "runtime.fpTracebackPCs"
"(*runtime.traceStackTable).put" "runtime.noescape"
"(*runtime.traceMap).put" "runtime.memhash"
"(*runtime.traceMap).bucket" "(*runtime/internal/atomic.UnsafePointer).Load"
"(*runtime.traceMap).find" "(*runtime.traceMap).bucket"
"(*runtime.traceMap).find" "runtime.memequal"
"(*runtime.traceMapNode).next" "(*runtime/internal/atomic.UnsafePointer).Load"
"(*runtime.traceMap).find" "(*runtime.traceMapNode).next"
"(*runtime.traceMap).put" "(*runtime.traceMap).find"
"(*runtime.traceMap).put" "runtime.systemstack"
"(*runtime.traceStackTable).put" "(*runtime.traceMap).put"
"runtime.traceStack" "(*runtime.traceStackTable).put"
"(runtime.traceLocker).stack" "runtime.traceStack"
"(runtime.traceLocker).GCSweepSpan" "(runtime.traceLocker).stack"
"(runtime.traceEventWriter).write" "(runtime.traceWriter).event"
"(runtime.traceEventWriter).commit" "(runtime.traceEventWriter).write"
"(runtime.traceEventWriter).end" "(runtime.traceWriter).end"
"(runtime.traceEventWriter).commit" "(runtime.traceEventWriter).end"
"(runtime.traceLocker).GCSweepSpan" "(runtime.traceEventWriter).commit"
"(*runtime.sweepLocked).sweep" "(runtime.traceLocker).GCSweepSpan"
"(*runtime.sweepLocked).sweep" "runtime.traceRelease"
"(*runtime.sweepLocked).sweep" "(*runtime/internal/atomic.Uint64).Add"
"(*runtime.sweepLocked).sweep" "runtime.newSpecialsIter"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).base"
"(*runtime.mspan).markBitsForIndex" "(*runtime.gcBits).bitp"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).markBitsForIndex"
"(*runtime.sweepLocked).sweep" "(runtime.markBits).isMarked"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).valid"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).base"
"(*runtime.sweepLocked).sweep" "(runtime.markBits).setMarkedNonAtomic"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).base"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).valid"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).unlinkAndNext"
"runtime.queuefinalizer" "runtime.throw"
"runtime.queuefinalizer" "runtime.lock"
"runtime.queuefinalizer" "runtime/internal/atomic.Xadd"
"runtime.queuefinalizer" "runtime.unlock"
"(*runtime/internal/atomic.Uint32).Or" "runtime/internal/atomic.Or"
"runtime.queuefinalizer" "(*runtime/internal/atomic.Uint32).Or"
"runtime.queuefinalizer" "runtime.persistentalloc"
"runtime.queuefinalizer" "runtime.throw"
"runtime.freeSpecial" "runtime.queuefinalizer"
"runtime.freeSpecial" "runtime.lock"
"runtime.freeSpecial" "(*runtime.fixalloc).free"
"runtime.freeSpecial" "runtime.unlock"
"(*runtime.mProfCycleHolder).read" "(*runtime/internal/atomic.Uint32).Load"
"runtime.mProf_Free" "(*runtime.mProfCycleHolder).read"
"(*runtime.bucket).mp" "runtime.throw"
"(*runtime.bucket).mp" "runtime.add"
"runtime.mProf_Free" "(*runtime.bucket).mp"
"runtime.mProf_Free" "runtime.lock"
"runtime.mProf_Free" "runtime.unlock"
"runtime.freeSpecial" "runtime.mProf_Free"
"runtime.freeSpecial" "runtime.lock"
"runtime.freeSpecial" "(*runtime.fixalloc).free"
"runtime.freeSpecial" "runtime.unlock"
"runtime.freeSpecial" "runtime.lock"
"runtime.freeSpecial" "(*runtime.fixalloc).free"
"runtime.freeSpecial" "runtime.unlock"
"runtime.freeSpecial" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.freeSpecial"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).next"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).unlinkAndNext"
"(*runtime.sweepLocked).sweep" "runtime.freeSpecial"
"(*runtime.sweepLocked).sweep" "(*runtime.specialsIter).next"
"runtime.spanHasNoSpecials" "(*runtime.mspan).base"
"runtime.spanHasNoSpecials" "(*runtime.mspan).base"
"runtime.spanHasNoSpecials" "runtime.arenaIndex"
"runtime.spanHasNoSpecials" "(runtime.arenaIdx).l1"
"runtime.spanHasNoSpecials" "(runtime.arenaIdx).l2"
"runtime.spanHasNoSpecials" "runtime/internal/atomic.And8"
"(*runtime.sweepLocked).sweep" "runtime.spanHasNoSpecials"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).markBitsForBase"
"(*runtime.mspan).allocBitsForIndex" "(*runtime.gcBits).bitp"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).allocBitsForIndex"
"(*runtime.sweepLocked).sweep" "(runtime.markBits).isMarked"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).base"
"(*runtime.sweepLocked).sweep" "(*runtime.markBits).advance"
"(*runtime.sweepLocked).sweep" "(*runtime.markBits).advance"
"(*runtime.sweepLocked).sweep" "(runtime.markBits).isMarked"
"runtime.tracefree" "runtime.lock"
"runtime.tracefree" "runtime.getg"
"runtime.gotraceback" "runtime.getg"
"runtime.gotraceback" "runtime/internal/atomic.Load"
"runtime.goroutineheader" "runtime.gotraceback"
"runtime.goroutineheader" "runtime.readgstatus"
"runtime.goroutineheader" "(runtime.waitReason).String"
"runtime.goroutineheader" "runtime.nanotime"
"runtime.tracefree" "runtime.goroutineheader"
"runtime.tracefree" "runtime.getcallerpc"
"runtime.tracefree" "runtime.getcallersp"
"runtime.tracefree" "runtime.systemstack"
"runtime.tracefree" "runtime.unlock"
"(*runtime.sweepLocked).sweep" "runtime.tracefree"
"runtime.clobberfree" "runtime.add"
"(*runtime.sweepLocked).sweep" "runtime.clobberfree"
"runtime.racefree" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.racefree"
"runtime.msanfree" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.msanfree"
"runtime.asanpoison" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.asanpoison"
"(*runtime.sweepLocked).sweep" "(*runtime.gcBits).bytep"
"(*runtime.sweepLocked).sweep" "(*runtime.gcBits).bytep"
"(*runtime.mspan).countAlloc" "runtime.divRoundUp"
"(*runtime.mspan).countAlloc" "(*runtime.gcBits).bytep"
"(*runtime.mspan).countAlloc" "runtime/internal/sys.OnesCount64"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).countAlloc"
"(*runtime.mspan).reportZombies" "runtime.printlock"
"(*runtime.mspan).reportZombies" "(*runtime.mspan).markBitsForBase"
"(*runtime.mspan).reportZombies" "(*runtime.mspan).allocBitsForIndex"
"(*runtime.mspan).reportZombies" "(*runtime.mspan).base"
"(*runtime.mspan).reportZombies" "runtime.throw"
"(*runtime.mspan).reportZombies" "(runtime.markBits).isMarked"
"(*runtime.mspan).reportZombies" "(runtime.markBits).isMarked"
"(*runtime.mspan).reportZombies" "(runtime.markBits).isMarked"
"(*runtime.mspan).reportZombies" "(*runtime.markBits).advance"
"(*runtime.mspan).reportZombies" "(*runtime.markBits).advance"
"(*runtime.mspan).reportZombies" "runtime.hexdumpWords"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).reportZombies"
"(*runtime.sweepLocked).sweep" "runtime.divRoundUp"
"(*runtime.sweepLocked).sweep" "(*runtime.gcBits).bytep"
"(*runtime.sweepLocked).sweep" "(*runtime.gcBits).bytep"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).reportZombies"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.traceEnabled"
"(*runtime.sweepLocked).sweep" "runtime.getg"
"(*runtime.sweepLocked).sweep" "(runtime.puintptr).ptr"
"runtime.newMarkBits" "runtime/internal/atomic.Loadp"
"(*runtime.gcBitsArena).tryAlloc" "runtime/internal/atomic.Xadduintptr"
"(*runtime.gcBitsArena).tryAlloc" "runtime/internal/atomic.Loaduintptr"
"runtime.newMarkBits" "(*runtime.gcBitsArena).tryAlloc"
"runtime.newMarkBits" "runtime.lock"
"runtime.newMarkBits" "(*runtime.gcBitsArena).tryAlloc"
"runtime.newMarkBits" "runtime.unlock"
"runtime.newArenaMayUnlock" "runtime.unlock"
"runtime.newArenaMayUnlock" "runtime.sysAlloc"
"runtime.newArenaMayUnlock" "runtime.memclrNoHeapPointers"
"runtime.newArenaMayUnlock" "runtime.throw"
"runtime.newArenaMayUnlock" "runtime.lock"
"runtime.newMarkBits" "runtime.newArenaMayUnlock"
"runtime.newMarkBits" "(*runtime.gcBitsArena).tryAlloc"
"runtime.newMarkBits" "runtime.unlock"
"runtime.newMarkBits" "(*runtime.gcBitsArena).tryAlloc"
"runtime.newMarkBits" "runtime.throw"
"runtime.newMarkBits" "runtime/internal/atomic.StorepNoWB"
"runtime.newMarkBits" "runtime.unlock"
"(*runtime.sweepLocked).sweep" "runtime.newMarkBits"
"(*runtime.mspan).getPinnerBits" "runtime/internal/atomic.Loadp"
"(*runtime.mspan).refreshPinnerBits" "(*runtime.mspan).getPinnerBits"
"(*runtime.mspan).pinnerBitSize" "runtime.divRoundUp"
"(*runtime.mspan).refreshPinnerBits" "(*runtime.mspan).pinnerBitSize"
"(*runtime.mspan).refreshPinnerBits" "runtime.alignUp"
"(*runtime.mspan).newPinnerBits" "runtime.newMarkBits"
"(*runtime.mspan).refreshPinnerBits" "(*runtime.mspan).newPinnerBits"
"(*runtime.mspan).refreshPinnerBits" "runtime.memmove"
"runtime.atomicwb" "runtime.getg"
"runtime.atomicwb" "(runtime.puintptr).ptr"
"runtime.wbBufFlush" "runtime.getg"
"runtime.wbBufFlush" "runtime.getg"
"runtime.wbBufFlush" "(runtime.puintptr).ptr"
"runtime.wbBufFlush" "(*runtime.wbBuf).discard"
"runtime.wbBufFlush" "runtime.systemstack"
"(*runtime.wbBuf).get2" "runtime.wbBufFlush"
"runtime.atomicwb" "(*runtime.wbBuf).get2"
"runtime.atomicstorep" "runtime.atomicwb"
"runtime.inHeapOrStack" "runtime.spanOf"
"runtime.inHeapOrStack" "(*runtime.mSpanStateBox).get"
"runtime.inHeapOrStack" "(*runtime.mspan).base"
"runtime.cgoIsGoPointer" "runtime.inHeapOrStack"
"runtime.activeModules" "runtime/internal/atomic.Loadp"
"runtime.cgoIsGoPointer" "runtime.activeModules"
"runtime.cgoIsGoPointer" "runtime.cgoInRange"
"runtime.cgoIsGoPointer" "runtime.cgoInRange"
"runtime.cgoCheckPtrWrite" "runtime.cgoIsGoPointer"
"runtime.cgoCheckPtrWrite" "runtime.cgoIsGoPointer"
"runtime.cgoCheckPtrWrite" "runtime.getg"
"runtime.isPinned" "runtime.spanOfHeap"
"runtime.isPinned" "(*runtime.mspan).getPinnerBits"
"runtime.isPinned" "(*runtime.mspan).objIndex"
"(*runtime.pinnerBits).ofObject" "(*runtime.gcBits).bitp"
"(*runtime.pinnerBits).ofObject" "runtime/internal/atomic.Load8"
"runtime.isPinned" "(*runtime.pinnerBits).ofObject"
"runtime.isPinned" "runtime.KeepAlive"
"runtime.isPinned" "(*runtime.pinState).isPinned"
"runtime.cgoCheckPtrWrite" "runtime.isPinned"
"runtime.inPersistentAlloc" "runtime/internal/atomic.Loaduintptr"
"runtime.cgoCheckPtrWrite" "runtime.inPersistentAlloc"
"runtime.cgoCheckPtrWrite" "runtime.systemstack"
"runtime.atomicstorep" "runtime.cgoCheckPtrWrite"
"runtime.atomicstorep" "runtime.noescape"
"runtime.atomicstorep" "runtime/internal/atomic.StorepNoWB"
"(*runtime.mspan).setPinnerBits" "runtime.atomicstorep"
"(*runtime.mspan).refreshPinnerBits" "(*runtime.mspan).setPinnerBits"
"(*runtime.mspan).refreshPinnerBits" "(*runtime.mspan).setPinnerBits"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).refreshPinnerBits"
"(*runtime.mspan).refillAllocCache" "(*runtime.gcBits).bytep"
"(*runtime.sweepLocked).sweep" "(*runtime.mspan).refillAllocCache"
"(*runtime.sweepLocked).sweep" "(*runtime.mSpanStateBox).get"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "runtime/internal/atomic.Store"
"(*runtime.sweepLocked).sweep" "(runtime.spanClass).sizeclass"
"(*runtime.sweepLocked).sweep" "runtime.throw"
"(*runtime.sweepLocked).sweep" "(*runtime.mcentral).fullSwept"
"(*runtime.atomicHeadTailIndex).incTail" "(*runtime/internal/atomic.Uint64).Add"
"(*runtime.atomicHeadTailIndex).incTail" "(runtime.headTailIndex).tail"
"(*runtime.atomicHeadTailIndex).incTail" "(runtime.headTailIndex).head"
"(*runtime.atomicHeadTailIndex).incTail" "(runtime.headTailIndex).tail"
"(*runtime.atomicHeadTailIndex).incTail" "runtime.throw"
"(*runtime.spanSet).push" "(*runtime.atomicHeadTailIndex).incTail"
"(*runtime.spanSet).push" "(runtime.headTailIndex).tail"
"(*runtime.spanSet).push" "(*runtime/internal/atomic.Uintptr).Load"
"(*runtime.atomicSpanSetSpinePointer).Load" "(*runtime/internal/atomic.UnsafePointer).Load"
"(*runtime.spanSet).push" "(*runtime.atomicSpanSetSpinePointer).Load"
"(runtime.spanSetSpinePointer).lookup" "runtime.add"
"(*runtime.spanSet).push" "(runtime.spanSetSpinePointer).lookup"
"(*runtime/internal/atomic.Pointer[runtime.spanSetBlock]).Load[runtime.spanSetBlock]" "(*runtime/internal/atomic.UnsafePointer).Load"
"(*runtime.spanSet).push" "(*runtime/internal/atomic.Pointer[runtime.spanSetBlock]).Load[runtime.spanSetBlock]"
"(*runtime.atomicMSpanPointer).StoreNoWB" "(*runtime/internal/atomic.UnsafePointer).StoreNoWB"
"(*runtime.spanSet).push" "(*runtime.atomicMSpanPointer).StoreNoWB"
"(*runtime.spanSet).push" "runtime.lock"
"(*runtime.spanSet).push" "(*runtime/internal/atomic.Uintptr).Load"
"(*runtime.spanSet).push" "runtime.unlock"
"(*runtime.spanSet).push" "(*runtime.atomicSpanSetSpinePointer).Load"
"(*runtime.lfstack).pop" "runtime/internal/atomic.Load64"
"runtime.lfstackUnpack" "(runtime.taggedPointer).pointer"
"(*runtime.lfstack).pop" "runtime.lfstackUnpack"
"(*runtime.lfstack).pop" "runtime/internal/atomic.Load64"
"(*runtime.lfstack).pop" "runtime/internal/atomic.Cas64"
"(*runtime.spanSetBlockAlloc).alloc" "(*runtime.lfstack).pop"
"(*runtime.spanSetBlockAlloc).alloc" "runtime.persistentalloc"
"(*runtime.spanSet).push" "(*runtime.spanSetBlockAlloc).alloc"
"(*runtime.spanSet).push" "(runtime.spanSetSpinePointer).lookup"
"(*runtime/internal/atomic.Pointer[runtime.spanSetBlock]).StoreNoWB[runtime.spanSetBlock]" "(*runtime/internal/atomic.UnsafePointer).StoreNoWB"
"(*runtime.spanSet).push" "(*runtime/internal/atomic.Pointer[runtime.spanSetBlock]).StoreNoWB[runtime.spanSetBlock]"
"(*runtime/internal/atomic.Uintptr).Store" "runtime/internal/atomic.Storeuintptr"
"(*runtime.spanSet).push" "(*runtime/internal/atomic.Uintptr).Store"
"(*runtime.spanSet).push" "runtime.unlock"
"(*runtime.spanSet).push" "runtime.persistentalloc"
"(*runtime.spanSet).push" "runtime.memmove"
"(*runtime.atomicSpanSetSpinePointer).StoreNoWB" "(*runtime/internal/atomic.UnsafePointer).StoreNoWB"
"(*runtime.spanSet).push" "(*runtime.atomicSpanSetSpinePointer).StoreNoWB"
"(*runtime.sweepLocked).sweep" "(*runtime.spanSet).push"
"(*runtime.sweepLocked).sweep" "(*runtime/internal/atomic.Uintptr).Add"
"(*runtime/internal/atomic.Uint8).Store" "runtime/internal/atomic.Store8"
"(*runtime.mSpanStateBox).set" "(*runtime/internal/atomic.Uint8).Store"
"(*runtime.sweepLocked).sweep" "(*runtime.mSpanStateBox).set"
"(*runtime.sweepLocked).sweep" "runtime.systemstack"
"(*runtime.consistentHeapStats).acquire" "runtime.getg"
"(*runtime.consistentHeapStats).acquire" "(runtime.puintptr).ptr"
"(*runtime.consistentHeapStats).acquire" "(*runtime/internal/atomic.Uint32).Add"
"(*runtime.consistentHeapStats).acquire" "(*runtime/internal/atomic.Uint32).Load"
"(*runtime.consistentHeapStats).acquire" "runtime.lock"
"(*runtime.consistentHeapStats).acquire" "runtime.throw"
"(*runtime.sweepLocked).sweep" "(*runtime.consistentHeapStats).acquire"
"(*runtime.sweepLocked).sweep" "(runtime.spanClass).sizeclass"
